44;44;DROGUERIAS MEGAFARMA EXPRESS 167;BOGOTA;CL 167 54 D 48 LC 6;;BOGOTÁ D.C.;CL 167 54 D 48 LC 6
45;45;DROGUERIA TAKALI;BOGOTA;CL 167 65 45;;BOGOTÁ D.C.;CL 167 65 45
46;46;FARMATODO BRITALIA;BOGOTA;CL 167 73 02;;BOGOTÁ D.C.;CL 167 73 02
47;47;CARULLA EXPRESS CL 167;BOGOTA;CL 167 73 51;;BOGOTÁ D.C.;CL 167 73 51
48;48;DROGUERIA CITY EXPRESS;BOGOTA;CL 169 50 37;;BOGOTÁ D.C.;CL 169 50 37
49;49;CIGARRERIA MERKA XPRESS;BOGOTA;CL 169 A 55 A 90;;BOGOTÁ D.C.;CL 169 A 55 A 90
50;50;ANAVEGAR.COM DE ANGIE;SANTANDER;CL 17 10 02;;BUCARAMANGA;CL 17 10 02
51;51;CACHARERRIA Y COMPRA VENTA EN CAIMAN;MAGDALENA;CL 17 10 158;;CIÉNAGA;CL 17 10 158
52;52;DROGAS ALEMANA;CUNDINAMARCA;CL 17 10 52;;ZIPAQUIRA;CL 17 10 52
53;53;DROGUERIA SANDY;NORTE DE SANTANDER;CL 17 11 74;;CÚCUTA;CL 17 11 74
54;54;METRO FONTIBON;BOGOTA;CL 17 112 58;;BOGOTÁ D.C.;CL 17 112 58
55;55;METRO FONTIBON DTO;BOGOTA;CL 17 112 58;;BOGOTÁ D.C.;CL 17 112 58
56;56;CHISPAZO RESTAURANTE BAR;BOGOTA;CL 17 12 86;;BOGOTÁ D.C.;CL 17 12 86
57;57;DROGUERIA LA MEJOR;NARIÑO;CL 17 13 42;;TÚQUERRES;CL 17 13 42
58;58;CVE JIMENEZ LAS NIEVES;ATLANTICO;CL 17 13 55;;BARRANQUILLA;CL 17 13 55
59;59;DROGUERIA EL RESURGIMIENTO;CASANARE;CL 17 14 04;;YOPAL;CL 17 14 04
60;60;COOGUASIMALES LA LIBERTAD;NORTE DE SANTANDER;CL 17 15 16;;CÚCUTA;CL 17 15 16
61;61;DROGAS LA 17;BOYACA;CL 17 16 17;;DUITAMA;CL 17 16 17
62;62;DROGUERIA PROFAMILIAR SUCURSAL 4;QUINDIO;CL 17 17 03;;ARMENIA (QUINDIO);CL 17 17 03
63;63;DROGUERIA LA GRAN ECONOMIA 5;BOYACA;CL 17 17 14;;DUITAMA;CL 17 17 14
64;64;ALMACEN DE COMPRAVENTA BARANOA;ATLANTICO;CL 17 17 A 43;;BARANOA;CL 17 17 A 43
65;65;ALMACEN DE COMPRA Y VENTA LA VIÑA;ATLANTICO;CL 17 18 46;;SOLEDAD;CL 17 18 46
66;66;DISPROCOM;ATLANTICO;CL 17 18 96;;BARRANQUILLA;CL 17 18 96
67;67;DISTRIBUIDORA LA VAQUITA;MAGDALENA;CL 17 19 16;;CIÉNAGA;CL 17 19 16
68;68;LA TERRAZA DROGUERIA;CAUCA;CL 17 20 29 CL 21 22;;PUERTO TEJADA;CL 17 20 29 CL 21 22
69;69;DISTRIBUCIONES MILENIO NO. 2;NARIÑO;CL 17 24 80;;PASTO;CL 17 24 80
70;70;DROGAS BUCARAMANGA;SANTANDER;CL 17 25 05;;BUCARAMANGA;CL 17 25 05
71;71;ALMACEN DE COMPRA Y VENTA COMECIALIZADORA LA 17;ATLANTICO;CL 17 26 33;;BARRANQUILLA;CL 17 26 33
72;72;DROGAS COPIFAM;TOLIMA;CL 17 3 19;;IBAGUÉ;CL 17 3 19
73;73;ARRIETA JIMENEZ LTDA;BOLIVAR;CL 17 3 63 PI 1 AP 2;;MAGANGUÉ;CL 17 3 63 PI 1 AP 2
74;74;ARRIETA JIMENEZ LTDA 2;BOLIVAR;CL 17 3 63 PI 1 AP 2;;MAGANGUÉ;CL 17 3 63 PI 1 AP 2
75;75;DROGUERIA NUEVA SALUD;VALLE DEL CAUCA;CL 17 33 05;;CALI;CL 17 33 05
76;76;CACHARRERIA Y MISCELANEA MONTENEGRO;QUINDIO;CL 17 5 06 EQ;;MONTENEGRO;CL 17 5 06 EQ
77;77;DROGAS COLOMBIA FARMA SUCURSAL CALLE 17;BOGOTA;CL 17 7 24;;BOGOTÁ D.C.;CL 17 7 24
78;78;FARMACIA DEL SUR JL;HUILA;CL 17 7 29;;CAMPOALEGRE;CL 17 7 29
79;79;ESTACION DE SERVICIO PUENTE PUMAREJO;ATLANTICO;CL 17 8 02;;BARRANQUILLA;CL 17 8 02
80;80;DROGAS COLOMBIA FARMA SUCURSAL VERACRUZ;BOGOTA;CL 17 8 15;;BOGOTÁ D.C.;CL 17 8 15
81;81;DROGUERIA INGLESA 24;MAGDALENA;CL 17 9 43 LC 1;;CIÉNAGA;CL 17 9 43 LC 1
